epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52818,1.24129,2.2406,1.68059,0.00364,1,0.68639,0.40755,1.2121,2.97573,2.02029,0.00056,0.00056,0.00056
2,7.14967,1.31496,2.01218,1.74912,0.5759,0.50956,0.58949,0.25718,1.83863,2.57302,2.75582,0.00108357,0.00108357,0.00108357
3,10.0306,1.4288,2.06501,1.88149,0.11807,0.25,0.06033,0.02346,3.006,3.87099,3.96739,0.00154972,0.00154972,0.00154972
4,12.8404,1.42475,1.99411,1.81015,0.21782,0.41667,0.24978,0.09088,2.73051,3.28143,3.62567,0.001703,0.001703,0.001703
5,15.6077,1.49035,1.95926,1.88469,0.29683,0.5,0.41919,0.14381,2.07458,2.83462,3.04957,0.001604,0.001604,0.001604
6,18.4721,1.39878,1.79738,1.80295,0.27703,0.57491,0.32134,0.12752,2.19305,2.78426,3.04292,0.001505,0.001505,0.001505
7,21.8455,1.34252,1.68452,1.74338,0.63623,0.66667,0.64548,0.23372,1.672,2.33151,2.55856,0.001406,0.001406,0.001406
8,25.162,1.30172,1.69074,1.71185,0.46313,0.33333,0.38375,0.14988,1.89999,2.24477,2.96662,0.001307,0.001307,0.001307
9,28.2427,1.33564,1.63919,1.72331,0.77284,0.5676,0.76332,0.38754,1.89836,2.10658,3.0083,0.001208,0.001208,0.001208
10,31.15,1.24141,1.56916,1.627,0.48417,0.66667,0.56252,0.22591,2.0197,1.93939,3.06013,0.001109,0.001109,0.001109
11,34.4671,1.30831,1.90098,1.95553,0.80389,0.75,0.74267,0.35433,1.71689,1.67175,2.83597,0.00101,0.00101,0.00101
12,37.3065,1.21943,1.71621,1.87954,0.7789,0.83333,0.76247,0.40671,1.57917,1.66507,2.29627,0.000911,0.000911,0.000911
13,40.1411,1.17241,1.59445,1.80309,0.71216,0.875,0.82543,0.51259,1.45609,1.50754,2.21144,0.000812,0.000812,0.000812
14,43.4089,1.12822,1.47375,1.74839,0.72579,0.79167,0.72248,0.41816,1.45423,1.64191,2.17921,0.000713,0.000713,0.000713
15,46.2317,1.09912,1.52629,1.71981,0.81937,0.83333,0.81286,0.47167,1.38333,1.5825,2.18894,0.000614,0.000614,0.000614
16,48.9744,1.03579,1.41528,1.65476,0.74376,0.79167,0.8137,0.45461,1.40694,1.49289,2.13731,0.000515,0.000515,0.000515
17,51.7705,1.05545,1.32341,1.66738,0.65225,0.85995,0.76282,0.4338,1.44337,1.43051,2.17419,0.000416,0.000416,0.000416
18,54.5663,1.00697,1.33952,1.61496,0.79369,0.75,0.84081,0.53202,1.29701,1.37053,2.05282,0.000317,0.000317,0.000317
19,57.4016,0.97851,1.21809,1.57276,0.8257,0.83333,0.87728,0.54245,1.26896,1.34692,1.97212,0.000218,0.000218,0.000218
20,60.1952,0.98465,1.21051,1.62153,0.80737,0.83333,0.86389,0.53364,1.29521,1.35452,1.98517,0.000119,0.000119,0.000119
1,4.00788,1.24129,2.2406,1.68059,0.00364,1,0.68639,0.40755,1.2121,2.97573,2.02029,0.00056,0.00056,0.00056
2,6.80151,1.31496,2.01218,1.74912,0.5759,0.50956,0.58949,0.25718,1.83863,2.57302,2.75582,0.00108357,0.00108357,0.00108357
3,9.56407,1.4288,2.06501,1.88149,0.11807,0.25,0.06033,0.02346,3.006,3.87099,3.96739,0.00154972,0.00154972,0.00154972
4,12.3195,1.42475,1.99411,1.81015,0.21782,0.41667,0.24978,0.09088,2.73051,3.28143,3.62567,0.001703,0.001703,0.001703
5,14.9916,1.49035,1.95926,1.88469,0.29683,0.5,0.41919,0.14381,2.07458,2.83462,3.04957,0.001604,0.001604,0.001604
6,17.6586,1.39878,1.79738,1.80295,0.27703,0.57491,0.32134,0.12752,2.19305,2.78426,3.04292,0.001505,0.001505,0.001505
7,20.381,1.34252,1.68452,1.74338,0.63623,0.66667,0.64548,0.23372,1.672,2.33151,2.55856,0.001406,0.001406,0.001406
8,23.1617,1.30172,1.69074,1.71185,0.46313,0.33333,0.38375,0.14988,1.89999,2.24477,2.96662,0.001307,0.001307,0.001307
9,25.8796,1.33564,1.63919,1.72331,0.77284,0.5676,0.76332,0.38754,1.89836,2.10658,3.0083,0.001208,0.001208,0.001208
10,28.4316,1.24141,1.56916,1.627,0.48417,0.66667,0.56252,0.22591,2.0197,1.93939,3.06013,0.001109,0.001109,0.001109
11,31.4333,1.30831,1.90098,1.95553,0.80389,0.75,0.74267,0.35433,1.71689,1.67175,2.83597,0.00101,0.00101,0.00101
12,34.0134,1.21943,1.71621,1.87954,0.7789,0.83333,0.76247,0.40671,1.57917,1.66507,2.29627,0.000911,0.000911,0.000911
13,36.5737,1.17241,1.59445,1.80309,0.71216,0.875,0.82543,0.51259,1.45609,1.50754,2.21144,0.000812,0.000812,0.000812
14,39.1558,1.12822,1.47375,1.74839,0.72579,0.79167,0.72248,0.41816,1.45423,1.64191,2.17921,0.000713,0.000713,0.000713
15,41.7494,1.09912,1.52629,1.71981,0.81937,0.83333,0.81286,0.47167,1.38333,1.5825,2.18894,0.000614,0.000614,0.000614
16,44.324,1.03579,1.41528,1.65476,0.74376,0.79167,0.8137,0.45461,1.40694,1.49289,2.13731,0.000515,0.000515,0.000515
17,46.9023,1.05545,1.32341,1.66738,0.65225,0.85995,0.76282,0.4338,1.44337,1.43051,2.17419,0.000416,0.000416,0.000416
18,49.4805,1.00697,1.33952,1.61496,0.79369,0.75,0.84081,0.53202,1.29701,1.37053,2.05282,0.000317,0.000317,0.000317
19,52.0778,0.97851,1.21809,1.57276,0.8257,0.83333,0.87728,0.54245,1.26896,1.34692,1.97212,0.000218,0.000218,0.000218
20,54.6643,0.98465,1.21051,1.62153,0.80737,0.83333,0.86389,0.53364,1.29521,1.35452,1.98517,0.000119,0.000119,0.000119
1,3.19904,1.24129,2.2406,1.68059,0.00364,1,0.68639,0.40755,1.2121,2.97573,2.02029,0.00056,0.00056,0.00056
2,6.08918,1.31496,2.01218,1.74912,0.5759,0.50956,0.58949,0.25718,1.83863,2.57302,2.75582,0.00108357,0.00108357,0.00108357
3,8.89359,1.4288,2.06501,1.88149,0.11807,0.25,0.06033,0.02346,3.006,3.87099,3.96739,0.00154972,0.00154972,0.00154972
4,11.5236,1.42475,1.99411,1.81015,0.21782,0.41667,0.24978,0.09088,2.73051,3.28143,3.62567,0.001703,0.001703,0.001703
5,14.0786,1.49035,1.95926,1.88469,0.29683,0.5,0.41919,0.14381,2.07458,2.83462,3.04957,0.001604,0.001604,0.001604
6,16.6792,1.39878,1.79738,1.80295,0.27703,0.57491,0.32134,0.12752,2.19305,2.78426,3.04292,0.001505,0.001505,0.001505
7,19.3048,1.34252,1.68452,1.74338,0.63623,0.66667,0.64548,0.23372,1.672,2.33151,2.55856,0.001406,0.001406,0.001406
8,21.8746,1.30172,1.69074,1.71185,0.46313,0.33333,0.38375,0.14988,1.89999,2.24477,2.96662,0.001307,0.001307,0.001307
9,24.468,1.33564,1.63919,1.72331,0.77284,0.5676,0.76332,0.38754,1.89836,2.10658,3.0083,0.001208,0.001208,0.001208
10,27.0783,1.24141,1.56916,1.627,0.48417,0.66667,0.56252,0.22591,2.0197,1.93939,3.06013,0.001109,0.001109,0.001109
11,30.3765,1.30831,1.90098,1.95553,0.80389,0.75,0.74267,0.35433,1.71689,1.67175,2.83597,0.00101,0.00101,0.00101
12,32.9837,1.21943,1.71621,1.87954,0.7789,0.83333,0.76247,0.40671,1.57917,1.66507,2.29627,0.000911,0.000911,0.000911
13,35.5687,1.17241,1.59445,1.80309,0.71216,0.875,0.82543,0.51259,1.45609,1.50754,2.21144,0.000812,0.000812,0.000812
14,38.2062,1.12822,1.47375,1.74839,0.72579,0.79167,0.72248,0.41816,1.45423,1.64191,2.17921,0.000713,0.000713,0.000713
15,40.7929,1.09912,1.52629,1.71981,0.81937,0.83333,0.81286,0.47167,1.38333,1.5825,2.18894,0.000614,0.000614,0.000614
16,43.3541,1.03579,1.41528,1.65476,0.74376,0.79167,0.8137,0.45461,1.40694,1.49289,2.13731,0.000515,0.000515,0.000515
17,45.9158,1.05545,1.32341,1.66738,0.65225,0.85995,0.76282,0.4338,1.44337,1.43051,2.17419,0.000416,0.000416,0.000416
18,48.4506,1.00697,1.33952,1.61496,0.79369,0.75,0.84081,0.53202,1.29701,1.37053,2.05282,0.000317,0.000317,0.000317
19,51.065,0.97851,1.21809,1.57276,0.8257,0.83333,0.87728,0.54245,1.26896,1.34692,1.97212,0.000218,0.000218,0.000218
20,53.6826,0.98465,1.21051,1.62153,0.80737,0.83333,0.86389,0.53364,1.29521,1.35452,1.98517,0.000119,0.000119,0.000119
1,1.41957,0.98684,2.72313,1.44856,0.004,1,0.15871,0.07766,0.70371,2.84218,1.33602,4e-05,4e-05,4e-05
2,1.93336,0.92263,2.52437,1.47267,0.004,1,0.36615,0.24095,0.72192,2.83707,1.39778,9.505e-05,9.505e-05,9.505e-05
3,2.47312,0.80255,2.37821,1.35638,0.004,1,0.35542,0.25,0.76009,2.85375,1.41765,0.00014416,0.00014416,0.00014416
4,3.00765,0.75443,2.1924,1.31142,0.004,1,0.71607,0.37578,0.82462,2.9176,1.55222,0.00018733,0.00018733,0.00018733
5,3.5378,0.89425,2.00097,1.34112,0.004,1,0.75458,0.46162,0.8758,2.94591,1.65416,0.00022456,0.00022456,0.00022456
6,4.07545,0.91569,1.82571,1.4925,0.004,1,0.79183,0.47454,0.85557,2.90091,1.71058,0.00025585,0.00025585,0.00025585
7,4.60511,0.92636,1.64106,1.4469,0.004,1,0.92227,0.60065,0.94216,2.86458,1.87224,0.0002812,0.0002812,0.0002812
8,5.1239,0.71348,1.50315,1.34449,0.004,1,0.931,0.63763,0.84442,2.86496,1.79482,0.00030061,0.00030061,0.00030061
9,5.66492,0.79877,1.61154,1.31838,0.004,1,0.94167,0.66307,0.93308,2.76084,1.87818,0.00031408,0.00031408,0.00031408
10,6.18295,0.76083,1.56231,1.3505,0.004,1,0.90267,0.60685,0.98753,2.6994,1.90532,0.00032161,0.00032161,0.00032161
11,7.08788,0.75249,2.4819,1.41559,0.004,1,0.81786,0.58157,0.94225,2.72383,1.72063,0.0003232,0.0003232,0.0003232
12,7.59418,0.74309,2.45026,1.3401,0.004,1,0.955,0.75662,0.74111,2.64905,1.59087,0.00031885,0.00031885,0.00031885
13,8.10303,0.76842,2.33579,1.44855,0.004,1,0.9125,0.65246,0.72395,2.68785,1.59876,0.00030856,0.00030856,0.00030856
14,8.59498,0.73406,2.29572,1.52843,0.004,1,0.90071,0.59104,0.71417,2.6799,1.54135,0.00029233,0.00029233,0.00029233
15,9.069,0.74865,2.16979,1.4724,0.004,1,0.90071,0.59104,0.71417,2.6799,1.54135,0.00027016,0.00027016,0.00027016
16,9.56622,0.68886,2.01792,1.33595,0.07059,1,0.87643,0.53212,0.82626,2.63879,1.65082,0.00024205,0.00024205,0.00024205
17,10.0627,0.62487,1.99028,1.32713,0.74296,0.48593,0.87643,0.56159,0.87341,2.59535,1.60926,0.000208,0.000208,0.000208
18,10.5575,0.56522,1.75892,1.22533,0.74296,0.48593,0.87643,0.56159,0.87341,2.59535,1.60926,0.00016801,0.00016801,0.00016801
19,11.0504,0.52452,1.7225,1.2303,0.72095,0.44189,0.90071,0.60618,0.78408,2.41278,1.46817,0.00012208,0.00012208,0.00012208
20,11.5607,0.5964,1.83141,1.25154,0.80454,0.68938,0.87167,0.67871,0.69903,2.24778,1.37381,7.021e-05,7.021e-05,7.021e-05
